frame_index,timestamp_s,timestamp_hms,count_car,count_bus,count_truck,count_2w,count_3w,count_other,total_count,density
99,3.2976794808591983,0:00:03,9,3,0,15,8,0,35,0.5833333333333334
100,3.3309893746052506,0:00:03,8,3,0,15,8,0,34,0.5666666666666667
101,3.364299268351303,0:00:03,8,3,0,14,8,0,33,0.55
102,3.3976091620973556,0:00:03,8,3,0,14,8,0,33,0.55
103,3.430919055843408,0:00:03,8,4,0,15,8,0,35,0.5833333333333334
104,3.4642289495894607,0:00:03,8,3,0,15,8,0,34,0.5666666666666667
105,3.497538843335513,0:00:03,8,3,0,15,8,0,34,0.5666666666666667
106,3.5308487370815658,0:00:03,8,3,0,15,8,0,34,0.5666666666666667
107,3.564158630827618,0:00:03,7,3,0,15,8,0,33,0.55
108,3.597468524573671,0:00:03,7,3,0,15,8,0,33,0.55
109,3.630778418319723,0:00:03,7,3,0,15,8,0,33,0.55
110,3.6640883120657755,0:00:03,7,3,0,14,8,0,32,0.5333333333333333
111,3.697398205811828,0:00:03,7,3,0,14,8,0,32,0.5333333333333333
112,3.7307080995578805,0:00:03,8,3,0,14,8,0,33,0.55
113,3.7640179933039333,0:00:03,8,3,0,14,8,0,33,0.55
114,3.7973278870499856,0:00:03,7,3,0,13,8,0,31,0.5166666666666667
115,3.8306377807960383,0:00:03,8,3,0,15,8,0,34,0.5666666666666667
116,3.8639476745420906,0:00:03,8,3,0,15,8,0,34,0.5666666666666667
117,3.8972575682881434,0:00:03,8,3,0,16,8,0,35,0.5833333333333334
118,3.9305674620341957,0:00:03,9,3,0,15,8,0,35,0.5833333333333334
119,3.963877355780248,0:00:03,9,3,0,13,8,0,33,0.55
120,3.997187249526301,0:00:03,9,3,0,15,8,0,35,0.5833333333333334
121,4.0304971432723535,0:00:04,9,3,0,16,8,0,36,0.6
122,4.063807037018406,0:00:04,9,3,0,15,8,0,35,0.5833333333333334
123,4.097116930764458,0:00:04,8,3,0,15,8,0,34,0.5666666666666667
124,4.1304268245105105,0:00:04,8,3,0,15,8,0,34,0.5666666666666667
125,4.163736718256564,0:00:04,8,3,0,15,8,0,34,0.5666666666666667
126,4.197046612002616,0:00:04,8,3,0,15,8,0,34,0.5666666666666667
127,4.230356505748668,0:00:04,8,3,0,15,8,0,34,0.5666666666666667
128,4.263666399494721,0:00:04,8,3,0,15,8,0,34,0.5666666666666667
129,4.296976293240773,0:00:04,8,3,0,14,8,0,33,0.55
130,4.330286186986826,0:00:04,8,3,0,14,8,0,33,0.55
131,4.363596080732878,0:00:04,8,3,0,14,8,0,33,0.55
132,4.396905974478931,0:00:04,9,3,0,14,8,0,34,0.5666666666666667
133,4.430215868224983,0:00:04,8,3,0,15,8,0,34,0.5666666666666667
134,4.463525761971036,0:00:04,8,3,0,15,8,0,34,0.5666666666666667
135,4.4968356557170885,0:00:04,8,3,0,14,8,0,33,0.55
136,4.530145549463141,0:00:04,9,3,0,14,8,0,34,0.5666666666666667
137,4.563455443209193,0:00:04,7,3,0,14,8,0,32,0.5333333333333333
138,4.5967653369552455,0:00:04,7,3,0,15,8,0,33,0.55
139,4.630075230701299,0:00:04,7,3,1,15,8,0,34,0.5666666666666667
140,4.663385124447351,0:00:04,7,3,1,15,8,0,34,0.5666666666666667
